ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Datos personalizados de Blocksy,Imágenes de variación de Blocksy,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Atributo por defecto 1,Atributo por defecto 2
4470,variable,IUKU0001,,Funda Ultrafina Traslúcida Rígida,1,0,visible,"Fabricada en plástico rígido ultradelgado con acabado mate traslúcido. Diseñado para permitir el paso de luz, revelando sutilmente los objetos detrás sin ser completamente transparente. Compatible con MagSafe; ideal para usar en oficina, salidas casuales; pensada para vestir elegante.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,"https://iuku.store/wp-content/uploads/2025/02/Untitled-2.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-11.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-1.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-7.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-4.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-12.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-32.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-18.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-16.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-26.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-8.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-13.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-6.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-9.jpeg, https://iuku.store/wp-content/uploads/2025/02/Untitled-23.jpeg",,,,,,,,,0,,,,Color,"Blanco, Negro",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,,
4471,variable,IUKU0007,,Mica de Cristal Templado Transparente,1,0,visible,"Su diseño transparente cubre completamente la pantalla, ofreciendo resistencia excepcional contra golpes, caídas, rayones y rasguños. Perfecta para mantener tu dispositivo impecable y protegido ante cualquier eventualidad.",,,,taxable,,1,,,0,0,,,,,0,,,,MICA,,,"https://iuku.store/wp-content/uploads/2025/03/Micas-de-pantalla-2.jpeg, https://iuku.store/wp-content/uploads/2025/03/Sin-titulo-3.jpg, https://iuku.store/wp-content/uploads/2025/03/Micas-de-pantalla-5.jpeg",,,,,,,,,0,,,,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 13 Pro / 14, iPhone 13 Pro Max, iPhone 14 Plus, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 15 / 15 Pro / 16, iPhone 15 Plus / 15 Pro Max, iPhone 16 Plus, iPhone 16 Pro, iPhone 16 Pro Max",0,0,,,,,,
4472,variable,IUKU0005,,Mica de Cristal Templado Acabado Mate,1,0,visible,"La mica de cristal templado con acabado mate mantiene tu pantalla libre de huellas y reflejos, ofreciendo una estética limpia, elegante y minimalista. Su diseño anti reflejos mejora la visibilidad en exteriores y protege eficazmente contra golpes, caídas y rasguños.",,,,taxable,,1,,,0,0,,,,,0,,,,MICA,,,"https://iuku.store/wp-content/uploads/2025/03/Micas-de-pantalla-6.jpeg, https://iuku.store/wp-content/uploads/2025/03/Sin-titulo-1.png, https://iuku.store/wp-content/uploads/2025/03/Micas-de-pantalla-3.jpeg",,,,,,,,,0,,,,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 13 Pro / 14, iPhone 13 Pro Max, iPhone 14 Plus, iPhone 14 Pro, iPhone 14 Pro Max",0,0,,,,,,
4473,variable,IUKU0006,,Mica de Cristal Templado con Filtro de Privacidad,1,0,visible,"Su tecnología evita que el contenido sea visible desde ángulos laterales, manteniendo tu privacidad en todo momento. Ideal para quienes quieren una protección completa y, además, evitar miradas indiscretas: la mica antichismosos que necesitas.",,,,taxable,,1,1,,notify,0,,,,,0,,,,MICA,,,"https://iuku.store/wp-content/uploads/2025/03/Micas-de-pantalla-1.jpeg, https://iuku.store/wp-content/uploads/2025/03/Sin-titulo-2.jpg",,,,,,,,,0,,,,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 13 Pro / 14, iPhone 13 Pro Max, iPhone 14 Plus, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 15 / 15 Pro / 16, iPhone 15 Plus / 15 Pro Max, iPhone 16 Plus, iPhone 16 Pro, iPhone 16 Pro Max",0,0,,,,,,
4474,variable,IUKU0012,,Protector de Cerámica Individual para Lentes de Cámara,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,MICA,,,"https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-14.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-15.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-13.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-5.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-4.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-7.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-8.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-16.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-6.jpeg",,,,,,,,,0,,,,Modelo,"iPhone 12 Pro / 12 Pro Max, iPhone 13 Pro Max / 15 Pro Max / 16 Pro Max, iPhone 14 / 15 / 16 / 16 Plus",0,0,Color,"Plateado, Negro, Gold",0,0,iPhone 13 Pro Max / 15 Pro Max / 16 Pro Max,Negro
4475,variable,IUKU0008,,Protector de Cristal Templado para Módulo de Cámara,1,0,visible,"Protege el módulo de cámaras de tu iPhone con esta mica de cristal templado diseñada para brindar seguridad total. Su diseño de una sola pieza cubre completamente las lentes, mientras que los anillos negros integrados en el cristal reducen el exceso de luz para mejorar la calidad de tus fotografías en condiciones de alta luminosidad. Resistente a golpes, caídas y arañazos. Garantiza la protección de tus cámaras sin comprometer la nitidez de tus fotos.",,,,taxable,,1,,,0,0,,,,,0,,,,MICA,,,"https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-5-1.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-4-1.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-3.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-1.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-2.jpeg, https://iuku.store/wp-content/uploads/2025/03/modulo-de-camara-6-1.jpeg",,,,,,,,,0,,,,Modelo,"iPhone 12, iPhone 12 Pro / 12 Pro Max, iPhone 13, iPhone 13 Pro / 13 Pro Max, iPhone 14 / 14 Plus, iPhone 14 Pro / 14 Pro Max, iPhone 15 / 15 Plus, iPhone 15 Pro / 15 Pro Max, iPhone 16 / 16 Plus, iPhone 16 Pro, iPhone 16 Pro Max",0,0,,,,,,
4476,variation,,,"Adaptador de Carga Samsung - 25w, Blanco",1,0,visible,,,,,taxable,parent,1,17,,0,0,,,,,0,,299,349,,,,https://iuku.store/wp-content/uploads/2025/03/Cargadores-2.jpeg,,,IUKU0009,,,,,,1,,,"{""gallery_source"":""default"",""images"":[]}",Voltaje,25w,,0,Color,Blanco,,0,,
4477,variation,,,"Adaptador de Carga Samsung - 25w, Negro",1,0,visible,,,,,taxable,parent,1,15,,0,0,,,,,0,,299,349,,,,https://iuku.store/wp-content/uploads/2025/03/Cargadores-1.jpeg,,,IUKU0009,,,,,,2,,,"{""gallery_source"":""default"",""images"":[]}",Voltaje,25w,,0,Color,Negro,,0,,
4478,variation,,,"Adaptador de Carga Samsung - 45w, Blanco",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,449,499,,,,https://iuku.store/wp-content/uploads/2025/03/Cargadores-5.jpeg,,,IUKU0009,,,,,,3,,,"{""gallery_source"":""default"",""images"":[]}",Voltaje,45w,,0,Color,Blanco,,0,,
4479,variation,,,"Adaptador de Carga Samsung - 45w, Negro",1,0,visible,,,,,taxable,parent,1,7,,0,0,,,,,0,,449,499,,,,https://iuku.store/wp-content/uploads/2025/03/Cargadores-4.jpeg,,,IUKU0009,,,,,,4,,,"{""gallery_source"":""default"",""images"":[]}",Voltaje,45w,,0,Color,Negro,,0,,
4480,variation,,,Cartera Tejido Fino - Azul,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,299,349,,,,,,,IUKU0010,,,,,,3,,,,Color,Azul,,0,,,,,,
4481,variation,,,Cartera Tejido Fino - Cafe,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,299,349,,,,,,,IUKU0010,,,,,,2,,,,Color,Cafe,,0,,,,,,
4482,variation,,,Cartera Tejido Fino - Negro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,299,349,,,,,,,IUKU0010,,,,,,1,,,,Color,Negro,,0,,,,,,
4483,variation,,,Cartera Tejido Fino - Purpura,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,299,349,,,,,,,IUKU0010,,,,,,4,,,,Color,Purpura,,0,,,,,,
4484,variation,,,Cartera Tejido Fino - Rosa,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,299,349,,,,,,,IUKU0010,,,,,,5,,,,Color,Rosa,,0,,,,,,
4485,variation,,,"unda Transparente con Módulo de Metal - Blanco, iPhone 12 / 12 Pro",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,399,,,,https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-7.jpeg,,,IUKU0002,,,,,,1,,,"{""gallery_source"":""default"",""images"":[]}",Color,Blanco,,0,Modelo,iPhone 12 / 12 Pro,,0,,
4486,variation,,,"Funda Transparente con Módulo de Metal - Blanco, iPhone 12 Pro Max",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,399,,,,https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-7.jpeg,,,IUKU0002,,,,,,2,,,"{""gallery_source"":""default"",""images"":[]}",Color,Blanco,,0,Modelo,iPhone 12 Pro Max,,0,,
4487,variation,,,"Funda Transparente con Módulo de Metal - Blanco, iPhone 13 / 14",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,399,,,,https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-29.jpeg,,,IUKU0002,,,,,,3,,,"{""gallery_source"":""default"",""images"":[]}",Color,Blanco,,0,Modelo,iPhone 13 / 14,,0,,
4488,variation,,,"Funda Transparente con Módulo de Metal - Blanco, iPhone 13 Pro",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,399,,,,https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-23.jpeg,,,IUKU0002,,,,,,4,,,"{""gallery_source"":""default"",""images"":[]}",Color,Blanco,,0,Modelo,iPhone 13 Pro,,0,,
4489,variation,,,"Funda Transparente con Módulo de Metal - Blanco, iPhone 13 Pro Max",1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,399,,,,https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-23.jpeg,,,IUKU0002,,,,,,5,,,"{""gallery_source"":""default"",""images"":[]}",Color,Blanco,,0,Modelo,iPhone 13 Pro Max,,0,,
4490,variation,,,"Funda Transparente con Módulo de Metal - Blanco, iPhone 14 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,399,,,,https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-29.jpeg,,,IUKU0002,,,,,,8,,,"{""gallery_source"":""default"",""images"":[]}",Color,Blanco,,0,Modelo,iPhone 14 Plus,,0,,
4491,variation,,,"Funda Transparente con Módulo de Metal - Blanco, iPhone 14 Pro",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,399,,,,https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-23.jpeg,,,IUKU0002,,,,,,6,,,"{""gallery_source"":""default"",""images"":[]}",Color,Blanco,,0,Modelo,iPhone 14 Pro,,0,,
4492,variation,,,"Funda Transparente con Módulo de Metal - Blanco, iPhone 14 Pro Max",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,399,,,,https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-23.jpeg,,,IUKU0002,,,,,,7,,,"{""gallery_source"":""default"",""images"":[]}",Color,Blanco,,0,Modelo,iPhone 14 Pro Max,,0,,
